,Enterprise Type,Accreditation No,Enterprise Name,Province,Municipality,Business Address,Contact Numbers,Business Website,Accreditation Validity,,,,,,
CAR,Ambulatory Clinic,DOT-CAR-AMC-02135-2024,Avignon Clinic,Benguet,Baguio,"2nd Floor Ayala Techno hub, Ordonio Drive, Camp John Hay, Brgy., Loakan Proper, Baguio City",9176395588,bsy.all2corp@gmail.com,9-Dec-25,
CAR,Tourism Recreation Center,DOT-CAR-SRC-02430-2025,Mt. Camisong Forest Park and Events,Benguet,Itogon,"Loacan, Itogon, Benguet",0917-6200-763,mtcamisongadmin@mtcamisong.com,2-Jun-26,,,,
CAR,Tourism Recreation Center,DOT-CAR-SRC-01557-2024,Traak ATV Vehicle Rental,Kalinga,Tabuk,"Bulo Road, Tabuk City, Kalinga",9062075772,traakatvvehiclerental@gmail.com,17-Mar-26,,,,
CAR,Tourism Recreation Center,DOT-CAR-SRC-01116-2023,Sky Ranch Baguio,Benguet,Baguio,"Luneta Hill, Upper Session-Gov. Pack rd., Baguio City",074 619 7838,sun.buligon@smsupermalls.com,3-Apr-26,,,,
,,,,,,,0917 858 5246,prince.montreal@smsupermalls.com,,,,,,,
CAR,Tourism Recreation Center,DOT-CAR-SRC-01591-2024,Team Lakay,Benguet,La Trinidad,"3rd Floor RDL Bldg., Pico, La Trinidad, Benguet",09668704659/,TeamLakayPH@gmail.com,21-Mar-26,,,
,,,,,,,9178898254,,,,,,,,
CAR,Agri-tourism Farm Site / Farm Tourism Camp,DOT-CAR-AGT-01545-2024,Agguimangan Agro-Eco Tourism Farm,Apayao,Pudtol,"Swan Pudtol Apayao Philippines, Pudtol,",09199231963 / 09561175057,agguimangan75@gmail.com,14-Jan-26,,,,
CAR,Agri-tourism Farm Site / Farm Tourism Camp,DOT-CAR-AGT-00863-2022,Amando's Citrus Farm,Benguet,Tublay,"Km 21 Amcaway, Brgy. Ambassador, Tublay, Benguet",9102006093,febfran123@gmail.com,29-Oct-26,,,
CAR,Tourism Training Center,DOT-CAR-AGT-00140-2021,CCDC Admiral's Farm Park,Benguet,La Trinidad,"Pinalyok, Lamtang, Puguis, La Trinidad, Benguet",9106603483,admiralsfarmpark@gmail.com,11-Sep-25,,
