Region,Enterprise Type,Accreditation No,Enterprise Name,Province,Municipality/City,Business Address,Contact Numbers,Business Website,Accreditation Validity
Region 11,Apartment Hotel,DOT-R11-APT-01376-2024,Executive Tulip Apartelle,-,Davao City,"B15, Lot 22-23 Tulip Drive,Juna Subd.,Brgy. Matina Crossing, Davao City",0995 5775663 / 392-2769,etapartelle@gmail.com,10/31/2026
Region 11,Hotel,DOT-R11-HTL-00033-2020,The Pinnacle Hotel and Suites,-,Davao City,"Sta Ana Ave., Davao City",(082) 221-3025,"acctg.pinnacledavao@gmail.com, pinnacledavao@gmail.com",10/31/2026
Region 11,Hotel,DOT-R11-HTL-00021-2020,Big 8 Corporate Hotel,Davao del Norte,Tagum City,"National Highway, Brgy Visayan Village, Tagum City, Davao del Norte",0939 9036178,salesmgr@big8corporatehotel.com,10/31/2026
Region 11,Hotel,DOT-R11-HTL-00062-2021,Grand Men Seng Hotel,-,Davao City,"Magallanes-Anda St., Brgy 1-A, Davao City",082 2219040,sales@grandmenseng.com,10/31/2026
Region 11,Hotel,DOT-R11-HTL-00484-2022,GoHotels Davao,-,Davao City,"Km.7 J.P. Laurel Ave., cor.N.Arroyo St., Lanang, Davao City",082 2283836,rodjave.repollo@robinsonsland.com,10/31/2026
Region 11,Hotel,DOT-R11-HTL-00057-2021,Blue Lotus Hotel,-,Davao City,"Quimpo Blvc., Ecoland, Brgy 76-A, Davao City",(082) 333-3333,fom1@bluelotushotel.com,10/31/2026
Region 11,Hotel,DOT-R11-HTL-01035-2024,Sotogrande Hotel Davao,-,Davao City,"Davao Riverfront, Brgy Maa, Davao City",0917 3064743,acctgdvo3@sotograndehotelgroup.ph,10/31/2026
Region 11,Hotel,DOT-R11-HTL-00026-2020,Hotel Tropika Davao,-,Davao City,"Km.7 Lanang Barangay Alfonso Angliongto, Davao City",234-3331,info@hoteltropikadavao.com,10/31/2026
Region 11,Hotel,DOT-R11-HTL-00383-2022,Rogen Inn,-,Davao City,"Mt Apo St Corner Lopez Jaena St., Brgy 7-A, Davao City","(082) 227-6436, 0969 6189923",cwnrogeninn@gmail.com,10/31/2026
Region 11,Hotel,DOT-R11-HTL-00001-2020,Red Planet Davao,-,Davao City,"JP Laurel Ave., Davao City",(082) 224-0577 / 0933 996 4712,fos.davao@redplanethotels.com,10/31/2026
Region 11,Hotel,DOT-R11-HTL-00029-2020,Microtel by Wyndham - Davao,-,Davao City,"Damosa Gateway Complex, Angliongto Road, Lanang, Davao City","(082) 233-2333, +639177953550",davao@microtel.ph,10/31/2026
Region 11,Hotel,DOT-R11-HTL-00032-2020,Hotel de Crisbelle,Davao del Sur,Digos City,"National Highway, Brgy San Jose (Balutakay), Digos City, Davao del Sur",0938 2987504,Maikelli26@gmail.com,10/31/2026
Region 11,Hotel,DOT-R11-HTL-01326-2024,Apo View Hotel,-,Davao City,"150 J. Camus St., Brgy 4-A, Davao City",082 221 6430 to 32,apoview.bc@gmail.com,10/31/2026
Region 11,Hotel,DOT-R11-HTL-00545-2023,Seda Abreeza Hotel,-,Davao City,"JP Laurel Ave., Bajada, Davao City",(082) 244 3020,amomas.kimberly@sedahotels.com,10/31/2026
Region 11,Hotel,DOT-R11-HTL-00080-2021,Grand Regal Hotel Davao,-,Davao City,"Km 7, JP Laurel Avenue",(082) 235 0888,executive@thegrandregalhotel.com,10/31/2026
Region 11,Hotel,DOT-R11-HTL-00118-2021,Park Inn by Radisson Davao,-,Davao City,"SM Lanang Complex, J.P. Laurel Ave., Lanang, Davao City",(082) 272 7600,Flordeliza.Gamo@parkinn.com,10/31/2026
Region 11,Hotel,DOT-R11-HTL-00755-2024,Panorama Summit Hotel,-,Davao City,"Km. 7, Tigatto Road, Buhangin, Davao City",0939 9201268,hrd.panoramasummithotel@gmail.com,10/31/2026
Region 11,Hotel,DOT-R11-HTL-00457-2022,Green Banana Business Hotel,-,Davao City,"Pryce Busuness Park, J.P. Laurel Avenue Bajada, Davao City",0917 8038493,pppedregosa@greenbananahotel.com,10/31/2026
Region 11,Hotel,DOT-R11-HTL-00047-2021,Waterfront Insular Hotel Davao,-,Davao City,"Km. 7, Lanang, Davao City",0998 5948542,wihd@waterfronthotels.net,10/31/2026
Region 11,Hotel,DOT-R11-HTL-01049-2024,Adelina Hotel and Suites,Davao Oriental,Mati City,"National Highway, Madang, Brgy. Central (Pob.), Mati City, Davao Oriental",0930 787 0063,fo@adelinahotelandsuites.com,10/31/2026
Region 11,Hotel,DOT-R11-HTL-00512-2022,The Royal Mandaya Hotel,-,Davao City,"J. Palma Gil St., Brgy. 34-D, Davao City",(082) 225-8888,info@theroyalmandayahotel.com,10/31/2026
Region 11,Hotel,DOT-R11-HTL-00742-2023,Big 8 Corporate Hotel Digos,Davao del Sur,Digos City,"Quezon Avenue , Zone 1, Digos City, Davao del Sur",0945 592 9353,big8corporatehoteldigos.bc@gmail.com,10/31/2026
Region 11,Hotel,DOT-R11-HTL-01134-2024,Shine Boutique Hotel,Davao del Norte,Tagum City,"Santo Niño, Gante Road, Brgy. Magugpo West, Tagum City, Davao del Norte",0953 5313518,shineboutiqueh@gmail.com,10/31/2026
Region 11,Hotel,DOT-R11-HTL-00112-2021,Acacia Hotel Davao,-,Davao City,"JP Laurel Ave., Lanang, Brgy. Wilfredo Aquino, Davao City",(082) 298 8088,acaciahotelsdavao@gmail.com,10/31/2026
Region 11,Hotel,DOT-R11-HTL-00027-2020,The Lanang Suites,-,Davao City,"Km 7 Lanang, JP Laurel Avenue, Brgy. San Antonio, Davao City",082-235-6776,om@thelanangsuites.com,10/31/2026
