Region,Enterprise Type,Accreditation No,Enterprise Name,Province,Municipality,Business Address,Contact Numbers,Business Website,Accreditation Validity
REGION 6,Land Transport Operator,DOT-R06-TTO-00239-2021,AEROSTAR1 TRANSPORT MPC,ILOILO CITY,ILOILO CITY,"ZONE 1, BUNTATALA, ILOILO CITY",0906-242-4534,,4/30/2026
REGION 6,Land Transport Operator,DOT-R06-TTO-02682-2024,ATM TOURS,AKLAN,ALTAVAS,"BRGY. POBLACION, ALTAVAS, AKLAN",0938-011-1133 / 0908-812-8253,,4/30/2026
REGION 6,Land Transport Operator,DOT-R06-TTO-04004-2025,BAMBOO-BORACAY TRANSPORT SERVICES,AKLAN,NABAS,"BRGY. UNION, NABAS, AKLAN",(036) 288-9813,,4/30/2026
REGION 6,Land Transport Operator,DOT-R06-TTO-01924-2023,BATANG'S CAR TOURISM CARRIER,AKLAN,LEZO,"D. TUPAS ST. BRGY. POBLACION, LEZO, AKLAN",9189407031,,4/30/2026
REGION 6,Land Transport Operator,DOT-R06-TTO-01764-2023,BENNCH TRANSPORT SERVICES,ILOILO CITY,ILOILO CITY,"BRGY. NORTH SAN JOSE,MOLO,ILOILO CITY",(033)336-6190,,4/30/2026
REGION 6,Land Transport Operator,DOT-R06-TTO-01661-2023,BORACAY 3J'S TOURS (DEMATE EMPIRE CORPORATION),AKLAN,KALIBO,"1000 OSMEÑA AVENUE, ESTANCIA, KALIBO, AKLAN",0963-105-2167,,4/30/2026
REGION 6,Land Transport Operator,DOT-R06-TTO-02853-2024,BORACAY LAND TRANSPORT MULTI-PURPOSE COOPERATIVE,BORACAY-AKLAN,MALAY,"SITIO TAMBISAAN, BRGY. MANOC-MANOC, BORACAY ISLAND, MALAY, AKLAN",0939-901-5976/ (036) 288-3271,,4/30/2026
REGION 6,Land Transport Operator,DOT-R06-TTO-00791-2022,CATICLAN-BORACAY TRANSPORT MULTI-PURPOSE COOPERATIVE (CBTMPC),AKLAN,MALAY,"CBTMPC MAIN BLDG., CBTMPC COMPOUND, BRGY. CATICLAN, MALAY, AKLAN",(036) 288-7101,,4/30/2026
REGION 6,Land Transport Operator,DOT-R06-TTO-03959-2025,DISCOVER BORACAY TRAVEL AND TOURS,AKLAN,KALIBO,"KALIBO AIRPORT ACCESS ROAD BRGY.POOK, KALIBO, AKLAN",036 2721188,,4/30/2026
REGION 6,Land Transport Operator,DOT-R06-TTO-03701-2025,"FIVE-O TRANSPORT SERVICE, INC.",ILOILO CITY,ILOILO CITY,"FUENTES-DELGADO STREETS, BRGY. SAN ANTONIO, ILOILO CITY",0908-897-7828,,4/30/2026
REGION 6,Land Transport Operator,DOT-R06-TTO-04179-2025,GIGANTES ISLAND TRANSPORT SERVICE COOPERATIVE,ILOILO,PAVIA,"MARIEL REFILLING STATION BLDG, BRGY. PAGSANGA-AN, PAVIA, ILOILO",9292645920,,4/30/2026
REGION 6,Land Transport Operator,DOT-R06-TTO-03297-2024,GUIMARAS TOURIST TRANSPORT COOPERATIVE,GUIMARAS,JORDAN,"BRGY. SAN MIGUEL, JORDAN, GUIMARAS",0918-963-5221,,4/30/2026
REGION 6,Land Transport Operator,DOT-R06-TTO-01996-2023,ISLAND ADVENTURE TOURS AND TRAVEL,ILOILO CITY,ILOILO CITY,"195, BRGY. BONIFACIO TANZA, ILOILO CITY",0916-430-1873,,4/30/2026
REGION 6,Land Transport Operator,DOT-R06-TTO-01017-2022,ISLAND STAR EXPRESS INC.,AKLAN,KALIBO,"BRGY. POOK, KALIBO, AKLAN",036-288-2097 / 288-6644,,4/30/2026
REGION 6,Land Transport Operator,DOT-R06-TTO-02268-2023,JMP TRAVEL TOURS,AKLAN,KALIBO,"BRGY. POOK, KALIBO, AKLAN",0920-526-9981,,4/30/2026
REGION 6,Land Transport Operator,DOT-R06-TTO-02630-2024,"KALIBO INTERNATIONAL AIRPORT TRANSPORT ASSOCIATION (KIATA), INC.",AKLAN,KALIBO,"KALIBO INTERNATIONAL AIRPORT, BRGY. POOK, KALIBO, AKLAN",0939-537-3975,,4/30/2026
REGION 6,Land Transport Operator,DOT-R06-TTO-02629-2024,L & A TRAVEL & TOURS,ILOILO,CABATUAN,"BRGY. DUYANDUYAN, CABATUAN, ILOILO",0919-898-2979,,4/30/2026
REGION 6,Land Transport Operator,DOT-R06-TTO-00822-2022,LAYOD'S TRANSPORT,AKLAN,NABAS,"NATIONAL HI-WAY, BRGY. UNION, NABAS, AKLAN",0908-874-1770,,4/30/2026
REGION 6,Land Transport Operator,DOT-R06-TTO-03716-2025,LE BORACAY TOURS,AKLAN,NUMANCIA,"050, BRGY. LAGUINBANUA EAST, NUMANCIA, AKLAN",0966-469-5026,,4/30/2026
REGION 6,Land Transport Operator,DOT-R06-TTO-02264-2023,LPJ TRANSPORT SERVICES CORP.,ILOILO,BADIANGAN,"SITIO TARA-TARA, BRGY. INILIGAN, BADIANGAN, ILOILO",0963-287-7310/0909-688-9652,,4/30/2026
REGION 6,Land Transport Operator,DOT-R06-TTO-01018-2022,M-V SHUTTLE VAN,AKLAN,KALIBO,"1322 BLISS SITE, POBLACION, KALIBO, AKLAN",0910-696-4616,,4/30/2026
REGION 6,Land Transport Operator,DOT-R06-TTO-02719-2024,MEL DIANE TRANSPORT AND SERVICES,NEGROS OCCIDENTAL,SAN CARLOS CITY,"MARGARITA VILLAGE, BRGY. II (POB.), SAN CARLOS CITY, NEGROS OCCIDENTAL",0917-777-6014,,4/30/2026
REGION 6,Land Transport Operator,DOT-R06-TTO-01986-2023,NGIP TRAVEL & TOURS,AKLAN,ALTAVAS,"GEN. LUNA ST., BRGY. POBLACION, ALTAVAS, AKLAN",0918-963-8526,,4/30/2026
REGION 6,Land Transport Operator,DOT-R06-TTO-01586-2022,NORTH-STAR-TRANS CORP.,AKLAN,NUMANCIA,"BRGY. POBLACION, NUMANCIA, AKLAN",9185627263,,4/30/2026
REGION 6,Land Transport Operator,DOT-R06-TTO-01281-2022,PARADISE ISLAND TRANSPORT AND MULTI-PURPOSE COOPERATIVE,AKLAN,KALIBO,"6111 MABINI STREET, BRGY. POBLACION, KALIBO, AKLAN",9380153168/273-31-33,,4/30/2026
REGION 6,Land Transport Operator,DOT-R06-TTO-02620-2024,RAJ & ROSE TOURS,ANTIQUE,SAN JOSE DE BUENAVISTA,"BRGY. ATABAY, SAN JOSE DE BUENAVISTA, ANTIQUE",0915-925-1245/0997-124-4672,,4/30/2026
REGION 6,Land Transport Operator,DOT-R06-TTO-02876-2024,REGIONAL TRANSPORT SERVICE COOPERATIVE (RETRANSCO),BACOLOD CITY,BACOLOD CITY,"LOT 235, JR TORRES AVENUE, AIRPORT SUBD., BRGY. SINGCANG-AIRPORT, BACOLOD CITY",0947-837-0004,,4/30/2026
REGION 6,Land Transport Operator,DOT-R06-TTO-02267-2023,RJ BORACAY TRAVEL AND TOURS,AKLAN,KALIBO,"KALIBO INTERNATIONAL AIRPORT, BRGY. POOK, KALIBO, AKLAN",0956-766-4616,,4/30/2026
REGION 6,Land Transport Operator,DOT-R06-TTO-00912-2022,RJ TRANSPORT SERVICES,ILOILO CITY,ILOILO CITY,"187-E, BRGY. LOPEZ JAENA SUR, LAPAZ, ILOILO CITY",(033)3200065 / 09298209909 / 09179811990,,4/30/2026
REGION 6,Land Transport Operator,DOT-R06-TTO-01845-2023,RJB STAR TRANSPORT SERVICE INC.,ILOILO CITY,ILOILO CITY,"1ST ST., LAWAAN VILLAGE, BRGY. BALANTANG, JARO, ILOILO CITY",0998-984-0673 & 0917-147-6016,,4/30/2026
REGION 6,Land Transport Operator,DOT-R06-TTO-02276-2023,RM BORACAY TRAVEL & TOURS,AKLAN,KALIBO,"KALIBO INTERNATIONAL AIRPORT, BRGY. POOK, KALIBO, AKLAN",9205269981,,4/30/2026
REGION 6,Land Transport Operator,DOT-R06-TTO-02994-2024,ROVY JR TRANSPORT SERVICES,ILOILO CITY,ILOILO CITY,"BRGY. M. V. HECHANOVA, ILOILO CITY",0960-876-4262/0912-990-4009,,4/30/2026
REGION 6,Land Transport Operator,DOT-R06-TTO-01070-2022,SOUTHWEST TOURS (BORACAY) INC.,AKLAN,KALIBO,"JNC MARTELINO ST., BRGY. ANDAGAW, KALIBO, AKLAN",(036) 268-6000,,4/30/2026
REGION 6,Land Transport Operator,DOT-R06-TTO-02310-2024,"SOUTHWEST TOURS (BORACAY), INC.",BACOLOD CITY,BACOLOD CITY,"DOOR 2 G/F MAINSTRIP TOURIST INN, LACSON HIGHWAY, BRGY. MANDALAGAN, BACOLOD CITY",(034) 469-6520 / 0936-900-0566,,4/30/2026
REGION 6,Land Transport Operator,DOT-R06-TTO-01588-2022,UMALI TOURS CORPORATION,AKLAN,KALIBO,"BRGY. POOK, KALIBO, AKLAN",0963-803-1176,,4/30/2026
REGION 6,Land Transport Operator,DOT-R06-TTO-03065-2024,WESTMINT CATICLAN TRANSPORT SERVICES CORP.,AKLAN,MALAY,"BRGY. CATICLAN, MALAY, AKLAN",0910-910-1236,,4/30/2026
REGION 6,Land Transport Operator,DOT-R06-TTO-00082-2021,"WESTMINT TRANSPORT ASSOCIATION, INC.",AKLAN,KALIBO,"L. BARRIOS CORNER N. ROLDAN ST., BRGY. POBLACION, KALIBO, AKLAN",0929-498-8589 / 0915-599-5600,,4/30/2026
,​,,,,,,,,
REGION 6,Water Transport Operator,DOT-R06-TWT-02731-2024,ABET TOURIST BOAT RENTAL/ MBCA BEBE DUCK,ILOILO,CARLES,"BANCAL PORT, BRGY. BANCAL, CARLES, ILOILO",0948-457-1353 / 0909-787-5997,,4/30/2026
REGION 6,Water Transport Operator,DOT-R06-TWT-02993-2024,"BEBING TOURIST BOAT RENTAL/MBCA ""CORONA DIAMOND""",ILOILO,CARLES,"BANCAL PORT, BRGY. BANCAL, CARLES, ILOILO",0963-935-9957,,4/30/2026
