Region,Enterprise Type,Accreditation No,Enterprise Name,Province,Municipality,Business Address,Contact Numbers,Business Website,Accreditation Validity
Region 2,Travel and Tour Agency,DOT-R02-TTA-01330-2024,AALIYAH TRAVEL AND TOURS,Isabela,Santiago City,20 EVERLASTING ST. ROSARIO,9273945530,,"June 30, 2026"
Region 2,Travel and Tour Agency,DOT-R02-TTA-01331-2024,AIESHA'S TRAVEL AND TOURS,Nueva Vizcaya,Solano,"TAGGAPAN STREET, BRGY, QUEZON",9209030030,,"June 30, 2026"
Region 2,Travel and Tour Agency,DOT-R0T-TTA-01444-2024,A.A.B. TRAVEL AND TOURS,Batanes,Basco,SAN ANTONIO,9190036526,,"June 30, 2025"
Region 2,Travel and Tour Agency,DOT-R02-TTA-01647-2024,AMEA TRAVEL AND TOURS,Isabela,Cauayan City,DISTRICT I,786242792,,"June 30, 2026"
Region 2,Travel and Tour Agency,DOT-R02-TTA-00448-2022,CAGAYAN VALLEY TRAVENTURES CO.,Cagayan,Santa Ana,Palawig,9202817878,,"June 30, 2026"
Region 2,Travel and Tour Agency,DOT-R02-TTA-00829-2023,BUCKETLIST TRAVEL AND TOURS,Isabela,Aurora,National Highway,9175511176,,"June 30, 2026"
Region 2,Travel and Tour Agency,DOT-R02-TTA-00651-2022,HAGWON TRAVEL EXPRESS AGENCY,Isabela,Santiago City,Centro East,9175633366,,"June 30, 2026"
Region 2,Travel and Tour Agency,DOT-R02-TTA-01693-2024,HEDGEROWS TRAVEL AND TOURS,Batanes,Basco,KAYVALUGANAN,9297250475,,"June 30, 2025"
Region 2,Travel and Tour Agency,DOT-R02-TTA-01652-2024,IVATAN TRAVEL AND TOUR,Batanes,Basco,IHUBOK II,9087628890,,"June 30, 2026"
Region 2,Travel and Tour Agency,DOT-R02-TTA-01658-2024,SHANEDELS TRAVEL AND TOURS,Batanes,Basco,KAYCHANARIANAN,9985619216,,"June 30, 2026"
Region 2,Travel and Tour Agency,DOT-R02-TTA-01662-2024,JJKE AIRWAYS TRAVEL AND TOURS,Cagayan,Tuguegarao City,UGAC NORTE,9452464134,,"June 30, 2026"
Region 2,Tour Operator,DOT-R02-TOP-01465-2024,AMBOY HOMETEL TOURS AND SERVICES,Batanes,Basco,CHABTUKAN,9209103492,,"June 30, 2026"
Region 2,Tour Operator,DOT-R02-TOP-01571-2024,BISUMI TOUR AND SERVICES,Batanes,Basco,KAYVALUGANAN,9192795963,,"June 30, 2025"
Region 2,Tour Operator,DOT-R02-TOP-,BYAHENG LOKAL TRAVEL AND TOURS,Batanes,Basco,KAYVALUGANAN,9298974616,,"June 30, 2026"
Region 2,Tour Operator,DOT-R02-TOP-01334-2024,MEMORIES BEYOND LUXE TRAVEL AND TOURS,BATANES,BASCO,"LA FUENTE STREET, KAYVUHOKAN",9491400869,,"June 30, 2025"
Region 2,Tour Operator,DOT-R02-TOP-00446-2022,Baletin Hometel Tour and Services,Batanes,Basco,Cantero Street,9073897122,,"June 30, 2026"
