Region,Region,Enterprise Type,Accreditation No,Enterprise Name,Province,Municipality,Business Address,Contact Numbers,Business Website,Accreditation Validity
,,,,,,,,,,
,Region 4A,Travel and Tour Agency,DOT-R4A-TTA-01815-2024,3 ACES TRAVEL SERVICES,Laguna,Santa Cruz,"Cor. P. Guevara & L. Taleon St. Brgy IV, Santa Cruz, Laguna",09970684976/ 049 530 1292,,"June 30, 2026"
,Region 4A,Travel and Tour Agency,DOT-R4A-TTA-00679-2022,Beautiful Islands Travel and Tours,Laguna,Cabuyao,Blk 25 Lot 15 Ph5 Mabuhay City,0495505001 / 09338583053,,"June 30, 2026"
,Region 4A,Travel and Tour Agency,DOT-R4A-TTA-02256-2025,The Circuit Travel Group,Laguna,Santa Cruz,"Unit 201 St. Martin Square, 1110 P. Guevarra Ave., Sta. Cruz, Laguna",9175450118,https://circuittravel.wixsite.com/circuittravel,"June 30, 2026"
,Region 4A,Travel and Tour Agency,DOT-R4A-TTA-01989-2024,8FIFTH TRAVEL AVENUE CORP.,Cavite,Bacoor City,"Unit 216 Plazuela de Molino, 9006 Bacoor Blvd. Brgy. Bayanan",,,"June 30, 2026"
,Region 4A,Travel and Tour Agency,DOT-R4A-TTA-02257-2025,BagsAndGo Travel Services,Cavite,Bacoor City,B13 L1 Ph3 Princeton Heights,9399101690,http://www.bagsandgotravel.com.ph,"June 30, 2026"
,Region 4A,Travel and Tour Agency,DOT-R4A-TTA-02237-2025,LANDSAFE TRAVEL AND TOURS AGENCY,Cavite,Bacoor City,"#353 F1 COMMERCIAL BUILDING MOLINO III, BACOOR, CAVITE",464711761,,"June 30, 2026"
,Region 4A,Travel and Tour Agency,DOT-R4A-TTA-02181-2025,A&GM TRAVEL AND TOURS OPC,Cavite,Dasmariñas City,"Block 5 Lot 66 Dancing Lady St South Garden Homes, Salitran III",9684225478,,"June 30, 2026"
,Region 4A,Travel and Tour Agency,DOT-R4A-TTA-00659-2022,A.C TRAVEL AND TOURS,Laguna,Calamba City,"NATIONAL HIGHWAY, PACIANO RIZAL",(049) 5026348,https://www.actravelandtours.com/,"June 30, 2026"
,Region 4A,Travel and Tour Agency,DOT-R4A-TTA-01102-2022,A.C. TRAVEL AND TOURS - SM CALAMBA BRANCH,Laguna,Calamba City,"364 3RD SM CITY CALAMBA, BRGY. REAL",(049) 5300113,,"June 30, 2026"
,Region 4A,Travel and Tour Agency,DOT-R4A-TTA-00943-2022,AMG GLOBAL TRAVEL AND TOURS,Laguna,Santa Rosa City,"Unit 5 Flying V Gas station, F. Reyes st. Brgy. Balibago",9178926228,,"June 30, 2026"
,Region 4A,Travel and Tour Agency,DOT-R4A-TTA-00357-2021,AIR CHANNEL TRAVEL AND TOURS,Rizal,Rodriguez,366 COL S. CRUZ ST. SAN RAFAEL RODRIGUEZ RIZAL,9178346745,,"June 30, 2026"
,Region 4A,Travel and Tour Agency,DOT-R4A-TTA-02083-2025,ANGELWINGS INTERNATIONAL TRAVEL AGENCY,Batangas,Batangas City,"Sitio Silangan, Tulo, Batangas City, Batangas",9085607066,,"June 30, 2026"
,Region 4A,Travel and Tour Agency,DOT-R4A-TTA-00260-2021,ARON STAR TRAVEL & TOURS,Rizal,Antipolo City,"G/F U NIT-3 JAME BLDG., A BONIFACIO ST., Brgy. Dela Paz",285253177,https://aronstartravelph.com/,"June 30, 2026"
,Region 4A,Travel and Tour Agency,DOT-R4A-TTA-01172-2023,Atinto Travel and Tours,Quezon,Lucban,"GF Planters Bldg. Racelis Street, Brgy. 2",,,"June 30, 2026"
,Region 4A,Travel and Tour Agency,DOT-R4A-TTA-02242-2025,Bathaluman Travel and Tours Services,Quezon,Tayabas City,Alandy Compound,9695920751,,"June 30, 2026"
,Region 4A,Travel and Tour Agency,DOT-R4A-TTA-01846-2024,AZA TRAVEL AND TOURS,Batangas,Batangas City,"ELM Bldg RIzal Avenue Corner P Zamora St., Barangay 18 (Pob.)",9175571217,,"June 30, 2025"
,Region 4A,Travel and Tour Agency,DOT-R4A-TTA-02240-2025,JJEMM Travel and Tours,Batangas,Tanauan City,922 J.P Laurel Highway,639206224774,,6/30/2026
,Regio 4A,Travel and Tour Agency,DOT-R4A-TTA-01847-2024,BERZEL PRIME TRAVEL N TOURS,Batangas,Batangas City,"82 B RIZAL AVE. PIT SNR BLDG, Barangay 22 (Pob.)",09171934279 / 09475888771,,"June 30, 2025"
,Region 4A,Travel and Tour Agency,DOT-R4A-TTA-00257-2021,Bestwing Travel and Tours OPC,Cavite,Silang,"M. KIAMZON STREET, BRGY. II",,,"June 30, 2026"
,Region 4A,Travel and Tour Agency,DOT-R4A-TTA-00117-2021,BEYOND ESCAPE TRAVEL AND TOURS,Cavite,Imus City,"UNIT 6, PUREGOLD-ANABU, AGUINALDO HIGHWAY, BRGY. ANABU II C",(0947)9925926,http://www.beyondescapetravel.com,"June 30, 2026"
,Region 4A,Travel and Tour Agency,DOT-R4A-TTA-02010-2024,Blessed Genesis Travel Management & Consultancy Inc.,Cavite,Trece Martires City,Unit 0523 Tower C Hope Residences Lot 1 Governor's Drive Brgy. San Agustin,,,"June 30, 2026"
,Region 4A,Travel Agency,DOT-R4A-TRA-02007-2024,CITILITE TRAVEL AND TOURS (PHILIPPINE EXPLORER),Cavite,Dasmariñas City,"LGF SM City Dasmariñas, Brgy. Sampaloc I",,,"June 30, 2026"
,Region 4A,Travel and Tour Agency,DOT-R4A-TTA-01951-2024,CITY TRAVEL (CITY TRAVEL & TOURS CORPORATION),Cavite,Bacoor City,"2F Unit 201 Conrado Commercial Complex, Aguinaldo Hwy, Niog I",9209632882,,"June 30, 2026"
,Region 4A,Travel and Tour Agency,DOT-R4A-TTA-00089-2021,CYGNAL TRAVEL AND TOURS CO.,Rizal,San Mateo,"2nd FLR COBARRUBIAS BLDG. 35 GEN LUNA ST, BRGY. BANABA",9173009892,http://www.cygnaltravel.com,"June 30, 2026"
,Region 4A,Travel and Tour Agency,DOT-R4A-TTA-01836-2024,lykabee travel and tours,Rizal,Antipolo City,blk 10 lot 4 brittany 1,9951893353,https://www.lykabeetours.com/,"June 30, 2026"
,Region 4A,Travel and Tour Agency,DOT-R4A-TTA-01764-2024,Oneaccord Travel and Tours,Rizal,Cainta,"Unit C, Second Floor, East 5 Place Property Building, Village East Cainta",0918 910 0816,,"June 30, 2026"
,Region 4A,Travel and Tour Agency,DOT-R4A-TTA-00122-2021,DELIVERANCE TRAVEL AND TOURS,Cavite,Imus,BLL 3 LOT 18 HAPPY HOMES,046 8947074,,"June 30, 2026"
,Region 4A,Travel and Tour Agency,DOT-R4A-TTA-00178-2021,Easy Flowing Travel and Tours,Cavite,Imus,333 Medicion II-C,9189649324,https://easyflowing45686452.wordpress.com,"June 30, 2026"
,Region 4A,Travel and Tour Agency,DOT-R4A-TTA-01072-2022,Easy-Trip Travel and Tours,Rizal,San Mateo,"48 Kambal Road, Guitnang Bayan II (Pob.)",9176776613,EasyTripTravel2022@gmail.com,"June 30, 2026"
,Region 4A,Travel and Tour Agency,DOT-R4A-TTA-01078-2022,EDER TRAVEL AND TOURS,Laguna,Calamba City,"BLK3 LOT26 BIRCH STREET OLIVAREZ HOMES, MILAGROSA",09997979248 / 09663289923,https://edertravelandtours.com/,"June 30, 2026"
,Region 4A,Travel and Tour Agency,DOT-R4A-TTA-00279-2021,Festive Travel and Tours Services,Laguna,Sta. Rosa City,"B32 Lot 2 Grand Chestnut Grove. Sta Rosa - Tagaytay Road, Pulong Sta. Cruz",,,"June 30, 2026"
,Region 4A,Travel and Tour Agency,DOT-R4A-TTA-01474-2023,FLORAL888 TRAVEL AND BUSINESS CENTER,Quezon,Lucena City,164 Granja Street,9692688081,https://www.facebook.com/Floral888travelph,"June 30, 2026"
