Region,Enterprise Type,Accreditation No,Enterprise Name,Province,Municipality,Business Address,Contact Numbers,Business Website,Accreditation Validity
Region 4B,Hotel,DOT-R4B-HTL-00941-2022,BALAR HOTEL AND SPA,Marinduque,Boac,"BALAR LIFESTYLE DISTRICT, BRGY. BALARING, BOAC",(+63) 9178822527,,"October 31, 2026"
Region 4B,Mabuhay Accommodation,DOT-R4B-MAB-02653-2025,ADIS RESORT AND RESTOBAR CORP. OPERATING UNDER THE NAME OF DLLHI,Marinduque,Boac,"PUROK 2 BRGY. IHATUB, BOAC",(+63) 9198816797,,"October 31, 2026"
Region 4B,Mabuhay Accommodation,DOT-R4B-MAB-00875-2022,HOTEL MARINDUQUE,Marinduque,Boac,"PAMINTUAN ST., BRGY. ISOK I (POB.), BOAC",9076726768,,"October 31, 2026"
Region 4B,Mabuhay Accommodation,DOT-R4B-MAB-00148-2022,MARINA MARINDUQUE HOTEL AND RESORT,Marinduque,Boac,"BEACHFRONT BRGY. BALARING, BOAC",(+63) 9605861545,,"October 31, 2026"
Region 4B,Mabuhay Accommodation,DOT-R4B-MAB-00727-2022,THE BOAC HOTEL,Marinduque,Boac,"COR. DEOGRACIAS ST., BRGY. SAN MIGUEL (POB.), BOAC",(042) 332-1121,,"October 31, 2026"
Region 4B,Mabuhay Accommodation,DOT-R4B-MAB-02856-2025,GRACIA’S BEACH RESORT,Marinduque,Boac,"PUROK QUEZON, BRGY. BALARING, BOAC",(+63) 9773895812,,"October 31, 2025"
Region 4B,Mabuhay Accommodation,DOT-R4B-MAB-01195-2023,NINE BALCONIES INN,Marinduque,Boac,"NEPOMUCENO STREET, BRGY. SAN MIGUEL (POB.), BOAC",(+63) 9285172593,,"October 31, 2025"
Region 4B,Mabuhay Accommodation,DOT-R4B-MAB-02978-2025,KENNEDY PAIGE TRANSIENT INN,Marinduque,Boac,"PUROK 6, BRGY. SANTOL, BOAC",(+63) 9171007058,,"October 31, 2025"
Region 4B,Travel and Tour Agency,DOT-R4B-TTA-02584-2024,DREAM FAVOR TRAVEL AND TOURS,Marinduque,Boac,"21 SANTOL, BRGY. SANTOL, BOAC",(+63) 9189331605,,"June 30, 2026"
Region 4B,Tour Operator,DOT-R4B-TTO-00409-2022,DREAM FAVOR TRAVEL AND TOURS,Marinduque,Boac,"21 SANTOL, BRGY. SANTOL, BOAC",(+63) 9189331605,,"April 30, 2026"
Region 4B,Mabuhay Accommodation,DOT-R4B-MAB-00955-2022,LUXOR RESORT,Marinduque,Gasan,"BRGY. PANGI, GASAN",(+63) 942-3320562,https://www.luxormarinduque.com,"October 31, 2026"
Region 4B,Mabuhay Accommodation,DOT-R4B-MAB-01226-2023,FAMILY BEACH RESORT,Marinduque,MOGPOG,"SITIO OBOG-OBOG, BRGY. NANGKA, MOGPOG",(+63) 9434727311,,"October 31, 2025"
Region 4B,Mabuhay Accommodation,DOT-R4B-MAB-01900-2024,GUISIAN COVE RESORT,Marinduque,MOGPOG,"BRGY. GUISIAN, MOGPOG, MARINDUQUE",(+63) 9166616045,https://guisiancoveresort.com/,"October 31, 2026"
Region 4B,Mabuhay Accommodation,DOT-R4B-TTA-02729-2025,E.M.T.L. TRAVEL & TOURS,Marinduque,MOGPOG,"QUEZON STREET, BRGY. GITNANG BAYAN, MOGPOG",(+63) 9171488095,https://emtl.services/emtl-marinduque/,"October 31, 2026"
Region 4B,Mabuhay Accommodation,DOT-R4B-MAB-00975-2022,CAVESERA RESIDENCIA FARM & RESORT,Marinduque,STA. CRUZ,"SITIO CAVESERA, BRGY. IPIL, STA. CRUZ",(+63) 9390591447 | (+63) 9176307407,,"October 31, 2025"
Region 4B,Mabuhay Accommodation,DOT-R4B-MAB-02651-2025,DONRUFFAEL TRANSIENT HOUSE RENTAL,Marinduque,STA. CRUZ,"BRGY. MANIWAYA, STA. CRUZ",(+63) 9458568324,,"October 31, 2025"
Region 4B,Mabuhay Accommodation,DOT-R4B-MAB-01499-2023,THREE BRO'S COTTAGE RENTAL,Marinduque,STA. CRUZ,"281, BRGY. MANIWAYA, STA. CRUZ",(+63) 9214583462,,"October 31, 2025"
Region 4B,Mabuhay Accommodation,DOT-R4B-MAB-01474-2023,DEWEY HOTEL & RESTAURANT,Marinduque,STA. CRUZ,"DEWEY, POBLACION MAHARLIKA, STA. CRUZ",(+63) 9097572824,,"October 31, 2026"
Region 4B,Mabuhay Accommodation,DOT-R4B-MAB-01315-2023,ISLAS MORIONES INCORPORATED,Marinduque,STA. CRUZ,"LOT 306 BRGY. MANIWAYA, STA. CRUZ",(+63) 9178925752,,"October 31, 2026"
Region 4B,Mabuhay Accommodation,DOT-R4B-MAB-02726-2025,FLINTSTONE RESORT,Marinduque,TORRIJOS,"PUROK 3, BRGY. CAGPO, TORRIJOS",(+63) 9291742494,,"October 31, 2025"
Region 4B,Mabuhay Accommodation,DOT-R4B-MAB-03000-2025,ROSALES GUEST HOUSE,Marinduque,TORRIJOS,"499 ROSALES STREET, BRGY. POBLACION, TORRIJOS",920 498 1299,https://www.rosalesguesthouse.com,"October 31, 2026"
Region 4B,Mabuhay Accommodation,DOT-R4B-MAB-02708-2025,ROYAL EAST EVENT CENTER,Marinduque,TORRIJOS,"SAN RAFAEL STREET, BRGY. MATUYATUYA, TORRIJOS",(+63) 9306934318,,"October 31, 2025"
Region 4B,Mabuhay Accommodation,DOT-R4B-MAB-01342-2023,COCO CABANA HOTEL,Romblon,ROMBLON,"BRGY. PALJE, ROMBLON",(+63) 966 134 5009,,"October 31, 2026"
Region 4B,Mabuhay Accommodation,DOT-R4B-MAB-01549-2023,"DIVE ROMBLON, INC.",Romblon,ROMBLON,"LOGBON ISLAND, ROMBLON",(+63) 9176115601,http://www.romblonresort.com/,"October 31, 2026"
Region 4B,Mabuhay Accommodation,DOT-R4B-MAB-02334-2024,HORIZON HOTEL ROMBLON,Romblon,ROMBLON,"UPPER LUSOD STREET, BRGY. LONOS, ROMBLON",(+63) 9157718481,https://horizonromblon.trastay.com/,"October 31, 2026"
Region 4B,Mabuhay Accommodation,DOT-R4B-MAB-00296-2022,THE THREE P BEACH RESORT,Romblon,ROMBLON,"BABANGTAN, BRGY. LONOS ROMBLON",(+63) 9294407135,https://the-three-p.com/,"October 31, 2026"
Region 4B,Mabuhay Accommodation,DOT-R4B-MAB-02401-2024,HOTEL NAER,Romblon,ROMBLON,"BAGONG LIPUNAN ST., ROMBLON",(+63) 9494463233,,"October 31, 2025"
Region 4B,Mabuhay Accommodation,DOT-R4B-MAB-02305-2024,TAHANAN SA TALISAYAN BEACH HOUSE,Romblon,ROMBLON,"SITIO TALISAYAN, BRGY. ALAD, ROMBLON, ROMBLON",(+63) 9695066685,,"October 31, 2025"
Region 4B,Mabuhay Accommodation,DOT-R4B-MAB-01610-2023,TALIPASAK BEACH RESORT,Romblon,ROMBLON,"SITIO SAN PEDRO, ROMBLON",(+63) 908 888 5216,,"October 31, 2025"
Region 4B,Tour Operator,DOT-R4B-TOP-00888-2022,PAMASYAR TRAVEL AND TOURS SERVICES,Romblon,ROMBLON,"SITIO FORT SAN ANDRES, ROMBLON",(+63) 9854680348,,"June 30, 2026"
Region 4B,Restaurant,DOT-R4B-RST-01214-2023,JD & G ITALIAN FOOD & REAL ITALIAN PIZZA,Romblon,ROMBLON,"REPUBLIKA ST., BARANGAY 1, ROMBLON",(+63) 9178760072,,"November 14, 2025"
Region 4B,Restaurant,DOT-R4B-RST-01280-2023,JOE-RA CAFE,Romblon,ROMBLON,JOE-RA CAFE,(+63) 9778148260,,"November 18, 2025"
,,,,,,"HWY 305 SITIO BINAGONG, BRGY. BAGACAY, ROMBLON",,,
Region 4B,Restaurant,DOT-R4B-RST-02977-2025,MMMAD. COFFEE SHOP,Romblon,SAN JOSE,"SITIO ILAYA, BRGY. POBLACION (AGCOGON), SAN JOSE,",(+63) 9995842159,,"June 23, 2026"
Region 4B,Mabuhay Accommodation,DOT-R4B-MAB-00915-2022,LFH APARTELLE,Romblon,ODIONGAN,"J.P LAUREL STREET, BRGY. DAPAWAN, ODIONGAN",(+63) 9199926241,,"October 31, 2025"
Region 4B,Mabuhay Accommodation,DOT-R4B-MAB-01211-2023,"SIMPLE LIVING HOTEL, INC.",Romblon,ODIONGAN,"NATIONAL ROAD, BRGY. POCTOY, ODIONGAN",(+63) 9777955583 / (+63) 999583335,,"October 31, 2025"
Region 4B,Target Shooting Range,DOT-R4B-TRE-01058-2022,EL ELOHE SHOOTING RANGE,Romblon,ODIONGAN,"EL ELOHE BLDG., DAISY ST., BRGY. TUMINGAD, ODIONGAN",(+63) 9693782549,,"April 4, 2026"
Region 4B,Mabuhay Accommodation,DOT-R4B-MAB-00592-2022,MAGSAYSAY HILLSIDE RESORT,Occidental Mindoro,MAGSAYSAY,"LAUREL ST., MAGSAYSAY, OCCIDENTAL MINDORO",(+63) 9399348007,,"October 31, 2026"
Region 4B,Agri-tourism Farm Site / Farm Tourism Camp,DOT-R4B-AGT-00657-2022,LOLA'S HEALTHY FARM INC.,Occidental Mindoro,MAGSAYSAY,"AGUINALDO ST., BRGY. POBLACION, MAGSAYSAY, OCCIDENTAL MINDORO",(+63) 9776962513,,"February 24, 2027"
Region 4B,Mabuhay Accommodation,DOT-R4B-MAB-00805-2022,MARU’S FOOD LOUNGE AND BEACHFRONT ROOMS,Occidental Mindoro,MAMBURAO,"3 CAPTAIN CARIO ST., BRGY. PAYOMPON, MAMBURAO, OCCIDENTAL MINDORO",(+63) 9399348007,,"October 31, 2026"
Region 4B,Mabuhay Accommodation,DOT-R4B-MAB-02481-2024,CASA ISON HOTEL,Occidental Mindoro,SABLAYAN,"1250 C. SALGADO ST, SABLAYAN",(+63) 9602719186,,"October 31, 2026"
Region 4B,Mabuhay Accommodation,DOT-R4B-MAB-02646-2025,SEASONS MANAGEMENT CORPORATION,Occidental Mindoro,SABLAYAN,"P. URIETA, ST., BRGY BUENAVISTA, SABLAYAN",(+63) 9453043505,https://sablayan.seasonshotelmindoro.com/,"October 31, 2026"
Region 4B,Mabuhay Accommodation,DOT-R4B-MAB-02468-2024,VIZALES GUEST HOUSE,Occidental Mindoro,SABLAYAN,"DANO ST., BRGY. BUENAVISTA SABLAYAN",(+63) 9163855935,,"October 31, 2026"
