Destination Name,Category,Price,Rating,Reviews,Latitude,Longitude,Region,Description,Tags,Location,Best Time to Visit,,Image URL
Calle Crisologo,Tourist,10000,4.7,"-3,122",17.8261234,119.9796148,Ilocos Region,,,,,,
Bantay Abot Cave,Tourist,10000,4.5,-585,17.8261234,119.9796148,Ilocos Region,,,,,,
Bangui Windmills,Tourist,10000,4.7,"-3,667",17.8261234,119.9796148,Ilocos Region,,,,,,
Cape Bojeador Lighthouse,Tourist,10000,4.5,"-1,758",17.8261234,119.9796148,Ilocos Region,,,,,,
Kabigan Falls,Tourist,10000,4.6,-102,17.8261234,119.9796148,Ilocos Region,,,,,,
Sinking Bell Tower,Tourist,10000,4.3,-406,17.8261234,119.9796148,Ilocos Region,,,,,,
Plaza Padre Jose Burgos,Tourist,10000,4.4,"-2,032",17.8261234,119.9796148,Ilocos Region,,,,,,
Mount Amorong,Mountains,10000,4.7,-14,16.9223546,120.1268202,Ilocos Region,,,,,,
Mount Sicapoo,Mountains,10000,4.3,-76,18.0133333,119.7196842,Ilocos Region,,,,,,
Mount Tirad,Mountains,10000,4.3,-13,18.0133333,119.7196842,Ilocos Region,,,,,,
Aw-Asen Falls,Waterfalls,10000,4.8,-127,17.6647693,120.0196238,Ilocos Region,,,,,,
Sangbay ni Ragsak (Falls of Happiness),Waterfalls,10000,4.3,-41,17.6647693,120.0196238,Ilocos Region,,,,,,
"Tanap-Avis Falls, Tanap, Burgos, Ilocos Norte",Waterfalls,10000,4.5,-74,17.6647693,120.0196238,Ilocos Region,,,,,,
BAEY ANITO FALLS,Waterfalls,10000,4.7,-7,17.6647693,120.0196238,Ilocos Region,,,,,,
Solcok Falls,Waterfalls,10000,5,-7,17.6647693,120.0196238,Ilocos Region,,,,,,
Pinsal Falls,Waterfalls,10000,4.4,-223,17.6647693,120.0196238,Ilocos Region,,,,,,
Malacañang of the North,Historical,10000,4.4,"-2,406",17.8406212,119.8601633,Ilocos Region,,,,,,
Syquia Mansion Museum,Historical,10000,4.4,-268,17.8406212,119.8601633,Ilocos Region,,,,,,
Padre Burgos House,Historical,5000,4.4,-102,17.8406212,119.8601633,Ilocos Region,,,,,,
Battle of Tirad Pass Monument and Historical Marker,Historical,5000,4.8,-12,17.8406212,119.8601633,Ilocos Region,,,,,,
Aurora Park,Parks,5000,4.4,-358,18.0967401,120.2904222,Ilocos Region,,,,,,
Nueva Era Eco Park,Parks,5000,4.3,-50,18.0967401,120.2904222,Ilocos Region,,,,,,
San Nicolas Municipal Park,Parks,5000,4.4,-27,18.0967401,120.2904222,Ilocos Region,,,,,,
Vigan Fil-Hispanic Park,Parks,5000,4.2,-38,18.0967401,120.2904222,Ilocos Region,,,,,,
CANIAW HERITAGE AND FOREST PARK,Parks,5000,4.7,-6,18.0967401,120.2904222,Ilocos Region,,,,,,
Juan Luna Park,Parks,5000,4.7,-13,18.0967401,120.2904222,Ilocos Region,,,,,,
National Museum of the Philippines Ilocos Regional Complex,Museums,5000,4.4,-102,17.1451655,119.1883093,Ilocos Region,,,,,,
Museo de Bacarra,Museums,5000,4.5,-413,17.1451655,119.1883093,Ilocos Region,,,,,,
Museo Ilocos Norte,Museums,5000,4.8,-17,17.1451655,119.1883093,Ilocos Region,,,,,,
Ferdinand E. Marcos Presidential Center,Museums,5000,4.3,-182,17.1451655,119.1883093,Ilocos Region,,,,,,
Crisologo Museum,Museums,5000,4.3,-248,17.1451655,119.1883093,Ilocos Region,,,,,,
Old Carcel Museum,Museums,5000,4.4,-625,17.1451655,119.1883093,Ilocos Region,,,,,,
Bessang Pass Natural Park,Museums,5000,3,-2,17.1451655,119.1883093,Ilocos Region,,,,,,
Kalbario-Patapat Natural Park,Natural,5000,4.7,"-3,122",17.7727229,119.9793513,Ilocos Region,,,,,,
Santa Symbolic Landmark,Natural,5000,4.5,-585,17.7727229,119.9793513,Ilocos Region,,,,,,
